date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-01-31,3.0,4.0,0.0,0.0,,,0.0661574439992122,0.0,
2020-02-01,0.0,4.0,0.0,0.0,,,0.0661574439992122,0.0,
2020-02-02,0.0,4.0,0.0,0.0,,,0.0661574439992122,0.0,
2020-02-03,0.0,4.0,0.0,0.0,,,0.0661574439992122,0.0,
2020-02-04,0.0,4.0,0.0,0.0,,,0.0661574439992122,0.0,
2020-02-05,0.0,4.0,0.0,0.0,,,0.0661574439992122,0.0,
2020-02-06,0.0,4.0,0.0,0.0,,,0.0661574439992122,0.0,
2020-02-07,0.0,4.0,0.0,0.0,,,0.0661574439992122,0.0,
2020-02-08,0.0,4.0,0.0,0.0,,,0.0661574439992122,0.0,
2020-02-09,0.0,4.0,0.0,0.0,,,0.0661574439992122,0.0,
2020-02-10,0.0,4.0,0.0,0.0,,,0.0661574439992122,0.0,
2020-02-11,0.0,4.0,0.0,0.0,,,0.0661574439992122,0.0,
2020-02-12,0.0,4.0,0.0,0.0,,,0.0661574439992122,0.0,
2020-02-13,0.0,4.0,0.0,0.0,,,0.0661574439992122,0.0,
2020-02-14,0.0,4.0,0.0,0.0,,,0.0661574439992122,0.0,
2020-02-15,0.0,4.0,0.0,0.0,,,0.0661574439992122,0.0,
2020-02-16,0.0,4.0,0.0,0.0,,,0.0661574439992122,0.0,
2020-02-17,0.0,4.0,0.0,0.0,,,0.0661574439992122,0.0,
2020-02-18,0.0,4.0,0.0,0.0,,,0.0661574439992122,0.0,
2020-02-19,0.0,4.0,0.0,0.0,,,0.0661574439992122,0.0,
2020-02-20,0.0,4.0,0.0,0.0,,,0.0661574439992122,0.0,
2020-02-21,0.0,4.0,0.0,0.0,,,0.0661574439992122,0.0,
2020-02-22,14.0,18.0,0.0,0.0,,,0.2977084979964549,0.0,
2020-02-23,62.0,80.0,2.0,2.0,,,1.323148879984244,0.0330787219996061,
2020-02-24,53.0,133.0,0.0,2.0,,,2.1997350129738056,0.0330787219996061,
2020-02-25,97.0,230.0,4.0,6.0,,,3.8040530299547015,0.0992361659988183,
2020-02-26,93.0,323.0,5.0,11.0,,,5.342213602936385,0.18193297099783354,
2020-02-27,78.0,401.0,1.0,12.0,,,6.632283760921022,0.1984723319976366,
2020-02-28,250.0,651.0,5.0,17.0,,,10.767124010871784,0.28116913699665186,
2020-02-29,238.0,889.0,4.0,21.0,,,14.70349192882491,0.34732658099586405,
2020-03-01,240.0,1129.0,8.0,29.0,,,18.672938568777642,0.47964146899428844,
2020-03-02,561.0,1690.0,6.0,35.0,,,27.951520089667152,0.5788776349931067,
2020-03-03,347.0,2037.0,17.0,52.0,,,33.69067835659881,0.8600467719897585,
2020-03-04,466.0,2503.0,28.0,80.0,,,41.39802058250703,1.323148879984244,
2020-03-05,587.0,3090.0,27.0,107.0,,,51.10662548939142,1.7697116269789264,
2020-03-06,769.0,3859.0,41.0,148.0,,,63.82539409823997,2.447825427970851,
2020-03-07,778.0,4637.0,49.0,197.0,,,76.69301695608674,3.2582541169612007,
2020-03-08,1247.0,5884.0,36.0,233.0,,,97.31760012284114,3.8536711129541104,
2020-03-09,1492.0,7376.0,133.0,366.0,,,121.99432673454729,6.053406125927916,
2020-03-10,1797.0,9173.0,98.0,464.0,,,151.71555845119337,7.674263503908615,
2020-03-11,977.0,10150.0,167.0,631.0,,,167.87451414800094,10.436336790875725,
2020-03-12,2313.0,12463.0,196.0,827.0,,,206.1300561405454,13.678051546837121,
2020-03-13,2651.0,15114.0,189.0,1016.0,,,249.9759021510233,16.8039907757999,
2020-03-14,2547.0,17661.0,252.0,1268.0,,,292.10165461752166,20.971909747750267,
2020-03-15,3497.0,21158.0,173.0,1441.0,,,349.9398000338329,23.833219200716194,
2020-03-16,2823.0,23981.0,370.0,1811.0,,,396.63041613627695,29.95278277064332,
2020-03-17,4000.0,27981.0,347.0,2158.0,,,462.7878601354891,35.69194103757498,
2020-03-18,3526.0,31507.0,347.0,2505.0,,,521.1056470207947,41.43109930450664,
2020-03-19,4207.0,35714.0,473.0,2978.0,,,590.6867387469661,49.254217057413484,
2020-03-20,5322.0,41036.0,429.0,3407.0,,,678.7092179879179,56.34960292632899,
2020-03-21,5986.0,47022.0,625.0,4032.0,,,777.713832932739,66.6867035512059,
2020-03-22,6557.0,53579.0,795.0,4827.0,,,886.1624230084476,79.83549554604932,
2020-03-23,5560.0,59139.0,649.0,5476.0,,,978.1212701673526,90.5695408349215,
2020-03-24,4789.0,63928.0,601.0,6077.0,,,1057.3282699954093,100.50969679580314,
2020-03-25,5249.0,69177.0,743.0,6820.0,,,1144.1433758833755,112.7984420186568,
2020-03-26,5210.0,74387.0,685.0,7505.0,,,1230.3134466923493,124.12790430352189,
2020-03-27,6153.0,80540.0,660.0,8165.0,,,1332.0801349241376,135.0438825633919,
2020-03-28,5959.0,86499.0,971.0,9136.0,,,1430.638187121964,151.10360209420065,
2020-03-29,5974.0,92473.0,887.0,10023.0,,,1529.4443297347873,165.77401530102597,
2020-03-30,5217.0,97690.0,758.0,10781.0,,,1615.7301760707599,178.31085093887668,
2020-03-31,4050.0,101740.0,810.0,11591.0,,,1682.7145881199622,191.70773334871714,
2020-04-01,4053.0,105793.0,839.0,12430.0,,,1749.748618252164,205.58425722755192,
2020-04-02,4782.0,110575.0,727.0,13157.0,,,1828.839842553222,217.6083726744087,
2020-04-03,4668.0,115243.0,760.0,13917.0,,,1906.0455797003028,230.17828703425903,
2020-04-04,4585.0,119828.0,764.0,14681.0,,,1981.8785498843997,242.81435883810857,
2020-04-05,4805.0,124633.0,681.0,15362.0,,,2061.3501794884533,254.07766367897443,
2020-04-06,4316.0,128949.0,527.0,15889.0,,,2132.7340615636035,262.79390692587066,
2020-04-07,3599.0,132548.0,636.0,16525.0,,,2192.2592218018945,273.3129405217454,
2020-04-08,3039.0,135587.0,604.0,17129.0,,,2242.522339880296,283.30271456562645,
2020-04-09,3836.0,139423.0,540.0,17669.0,,,2305.9673286755406,292.23396950552007,
2020-04-10,4204.0,143627.0,612.0,18281.0,,,2375.4988023187125,302.35605843739955,
